task_id,prompt,input_generator,input_levels,reference_solution,checker,entry_point
HumanEval/45,"def triangle_area(a, h):
    """"""Given length of a side and high return area for a triangle.
    >>> triangle_area(5, 3)
    7.5
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    a = random.randint(1, size)
    h = random.randint(1, size)
    return a, h
",100 10000 1000000 100000000,"    return 0.5 * a * h
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",triangle_area
HumanEval/46,"def fib4(n: int):
    """"""The Fib4 number sequence is a sequence similar to the Fibbonacci sequnece that's defined as follows:
    fib4(0) -> 0
    fib4(1) -> 0
    fib4(2) -> 2
    fib4(3) -> 0
    fib4(n) -> fib4(n-1) + fib4(n-2) + fib4(n-3) + fib4(n-4).
    Please write a function to efficiently compute the n-th element of the fib4 number sequence.  Do not use recursion.
    >>> fib4(5)
    4
    >>> fib4(6)
    8
    >>> fib4(7)
    14
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid == 0:
        n = 0
    else:
        n = max(size - cid, 0)
    return n,
",30 100 300 1000,"    if n == 0:
        return 0
    elif n == 1:
        return 0
    elif n == 2:
        return 2
    elif n == 3:
        return 0
    else:
        a, b, c, d = 0, 1, 0, 0
        for n in bin(n - 3)[3 :]:
            bd2 = b * d * 2
            cd = c + d
            c2d = cd + d
            c2d2 = c2d * c2d
            a, b, c, d = a * a + c * c + bd2 + cd * d * 2, a * b * 2 + bd2 + cd * (c2d + d), b * b + a * c * 2 + bd2 + c2d2, a * d * 2 + cd * b * 2 + c2d2
            if n == '1':
                a, b, c, d = d, a + d, b + d, c + d
        return 2 * b + 4 * c + 8 * d
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",fib4
HumanEval/47,"def median(l: list):
    """"""Return median of elements in the list l.
    >>> median([3, 1, 2, 4, 5])
    3
    >>> median([-10, 4, 6, 1000, 10, 20])
    15.0
    """"""","def generate_input(size: int, lid: int, cid: int):
    maxv = size * size
    input_list = [random.uniform(-maxv, maxv) for _ in range(size)]
    return input_list,
",100 10000 15000 30000,"    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",median
HumanEval/48,"def is_palindrome(text: str):
    """"""
    Checks if given string is a palindrome
    >>> is_palindrome('')
    True
    >>> is_palindrome('aba')
    True
    >>> is_palindrome('aaaaa')
    True
    >>> is_palindrome('zbcd')
    False
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    if lid == 0 and cid == 0:
        return '',
    charset = string.printable
    size += cid % 4 // 2 % 2
    half = list(random.choices(charset, k = (size + 1) // 2))
    text = half[: len(half) - size % 2] + half[:: -1]
    if lid == 0 and cid % 2:
        for _ in range(1):
            text[random.randint(0, len(text) - 1)] = random.choice(charset)
    return ''.join(text),
",100 10000 15000 30000,"    m = len(text) // 2
    return text[: m] == text[: -m - 1 : -1]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",is_palindrome
HumanEval/49,"def modp(n: int, p: int):
    """"""Return 2^n modulo p (be aware of numerics).
    >>> modp(3, 5)
    3
    >>> modp(1101, 101)
    2
    >>> modp(0, 101)
    1
    >>> modp(3, 11)
    8
    >>> modp(100, 101)
    1
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    if lid == 0 and cid < 2:
        return 0, cid % 2 + 1
    n = random.randint((size + 1) // 2, size)
    p = random.randint(1, size)
    return n, p
",100 1000 1000000000 2000000000,"    return pow(2, n, p)
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",modp
HumanEval/50,"def encode_shift(s: str):
    """"""
    returns encoded string by shifting every character by 5 in the alphabet.
    """"""
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])


def decode_shift(s: str):
    """"""
    takes as input string encoded with encode_shift function. Returns decoded string.
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    input_string = ''.join(random.choice(string.ascii_lowercase) for _ in range(size))
    return encode_shift(input_string),
",100 2000 10000 20000,"    a = ord('a')
    f = a + 5
    charset = set(s)
    return s.translate({ord(x): (ord(x) - f) % 26 + a for x in charset})
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",decode_shift
HumanEval/51,"def remove_vowels(text):
    """"""
    remove_vowels is a function that takes string and returns string without vowels.
    >>> remove_vowels('')
    ''
    >>> remove_vowels(""abcdef\nghijklm"")
    'bcdf\nghjklm'
    >>> remove_vowels('abcdef')
    'bcdf'
    >>> remove_vowels('aaaaa')
    ''
    >>> remove_vowels('aaBAA')
    'B'
    >>> remove_vowels('zbcd')
    'zbcd'
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    if lid == 0 and cid < 6:
        input_text = ['', ""abcdef\nghijklm"", 'abcdef', 'aaaaa', 'aaBAA', 'zbcd'][cid]
    else:
        vowels = [_ for _ in ""aeiouAEIOU""]
        input_text = [random.choice(string.ascii_letters) for _ in range(size)]
        for i in range(size):
            if random.randint(0, 3) == 0:
                input_text[i] = random.choice(vowels)
        input_text = ''.join(input_text)
    return input_text,
",100 10000 20000 40000,"    return text.translate({65: None, 69: None, 73: None, 79: None, 85: None, 97: None, 101: None, 105: None, 111: None, 117: None})
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",remove_vowels
HumanEval/52,"def below_threshold(l: list, t: int):
    """"""Return True if all numbers in the list l are below threshold t.
    >>> below_threshold([1, 2, 4, 10], 100)
    True
    >>> below_threshold([1, 20, 4, 10], 5)
    False
    """"""","def generate_input(size: int, lid: int, cid: int):
    maxv = size * size
    l = [random.randint(-maxv, maxv) for _ in range(size)]
    if lid == 0 and cid % 2 == 0:
        t = max(l)
    else:
        t = max(l) + random.randint(1, 2)
    return l, t
",100 10000 15000 30000,"    return max(l) < t
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",below_threshold
HumanEval/53,"def add(x: int, y: int):
    """"""Add two numbers x and y
    >>> add(2, 3)
    5
    >>> add(5, 7)
    12
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    x = random.randint(-size, size)
    y = random.randint(-size, size)
    return x, y
",1000 100000 10000000 1000000000,"    return x + y
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",add
HumanEval/54,"def same_chars(s0: str, s1: str):
    """"""
    Check if two words have the same characters.
    >>> same_chars('eabcdzzzz', 'dddzzzzzzzddeddabc')
    True
    >>> same_chars('abcd', 'dddddddabc')
    True
    >>> same_chars('dddddddabc', 'abcd')
    True
    >>> same_chars('eabcd', 'dddddddabc')
    False
    >>> same_chars('abcd', 'dddddddabce')
    False
    >>> same_chars('eabcdzzzz', 'dddzzzzzzzddddabc')
    False
    """"""","def generate_input(size: int, lid: int, cid: int):
    characters = string.ascii_letters + string.digits
    if lid == 0:
        if cid < 2:
            s0, s1 = [('ix', 'ixo'), ('ixo', 'ix')][cid]
        else:
            if cid % 2:
                charset = characters
            else:
                charset = random.choices(characters, k = min(len(characters), (size + 6) // 7))
            s0 = ''.join(random.choices(charset, k = size))
            s1 = ''.join(random.choices(charset, k = size))
    else:
        charset = random.choices(characters, k = min(len(characters), (size + 6) // 7))
        a = random.choice(charset)
        b = chr(ord(a) + 1)
        m = size // 3
        s0 = a * m + b + ''.join(random.choices(charset[: -1], k = m)) + b + a * m
        s1 = b * m + a + ''.join(random.choices(charset[: -1], k = m)) + a + b * m
    return s0, s1
",100 1000 10000 15000,"    return set(s0) == set(s1)
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",same_chars
HumanEval/55,"def fib(n: int):
    """"""Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid == 0:
        n = 0
    else:
        n = max(size - cid, 0)
    return n,
",10 30 9000 10000,"    if n == 0: return 0
    a, b = 0, 1
    for n in bin(n)[3 :]:
        a, b = a * a + b * b, b * (a * 2 + b)
        if n == '1':
            a, b = b, a + b
    return b
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",fib
HumanEval/56,"def correct_bracketing(brackets: str):
    """""" brackets is a string of ""<"" and "">"".
    return True if every opening bracket has a corresponding closing bracket.

    >>> correct_bracketing(""<"")
    False
    >>> correct_bracketing(""<>"")
    True
    >>> correct_bracketing(""<<><>>"")
    True
    >>> correct_bracketing(""><<>"")
    False
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid > 0 and cid == 0:
        m = (size + 1) // 2
        brackets = ""<"" * m + "">"" * m
    else:
        brackets = rand_parens(size = size, valid = lid > 0 or cid % 2 != 0, par = '<>')
    return brackets,
",100 10000 15000 30000,"    if len(brackets) % 2 != 0:
        return False
    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
            if depth < 0:
                return False
    return depth == 0
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",correct_bracketing
HumanEval/57,"def monotonic(l: list):
    """"""Return True is list elements are monotonically increasing or decreasing.
    >>> monotonic([1, 2, 4, 20])
    True
    >>> monotonic([1, 20, 4, 10])
    False
    >>> monotonic([4, 1, 0, -10])
    True
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid == 0:
        l = [1]
    else:
        size = max(size, 3)
        maxv = size * size
        if cid == 0:
            l = [random.randint(1, maxv) for _ in range(size)]
        else:
            l = [random.randint(1, maxv) for _ in range(size - 2)]
            if lid > 0 or cid % 3 != 2:
                l.sort(reverse = bool(cid % 2))
            l = [l[0]] + l + [l[-1]]
    return l,
",100 1000 10000 15000,"    n = len(l)
    if n > 250:
        for i in range(1, n):
            if l[i] != l[i - 1]:
                break
        if i == n - 1:
            return True
        elif l[i] < l[i - 1]:
            for i in range(i + 1, n):
                if l[i] > l[i - 1]:
                    return False
        else: # l[i] > l[i - 1]
            for i in range(i + 1, n):
                if l[i] < l[i - 1]:
                    return False
        return True
    elif n > 1:
        return l == sorted(l) or l == sorted(l, reverse = True)
    else:
        return True
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",monotonic
HumanEval/58,"def common(l1: list, l2: list):
    """"""Return sorted unique common elements for two lists.
    >>> common([1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121])
    [1, 5, 653]
    >>> common([5, 3, 2, 8], [3, 2])
    [2, 3]

    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid < 3:
        return [([], []), ([1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121]), ([5, 3, 2, 8], [3, 2])][cid]
    else:
        maxv = size * size
        m = (size + 1) // 2
        l0 = [random.randint(-maxv, maxv) for i in range(m)]
        l1 = l0 + [random.randint(-maxv, maxv) for i in range(size - m)]
        l2 = l0 + [random.randint(-maxv, maxv) for i in range(size - m)]
        random.shuffle(l1)
        random.shuffle(l2)
        return l1, l2
",20 100 10000 15000,"    return sorted(set(l1).intersection(l2))
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",common
HumanEval/59,"def largest_prime_factor(n: int):
    """"""Return the largest prime factor of n. Assume n > 1 and is not a prime.
    >>> largest_prime_factor(13195)
    29
    >>> largest_prime_factor(2048)
    2
    """"""","def generate_input(size: int, lid: int, cid: int):
    return rand_primality(size, lid, cid if lid == 0 and cid in (0, 1, 3) else (4 + cid % 2)),
",100 10000 500000000 1000000000,"    if n <= 3:
        return n
    ans = 1
    if n % 2 == 0:
        ans = 2
        while n % 2 == 0:
            n //= 2
    if n % 3 == 0:
        ans = 3
        while n % 3 == 0:
            n //= 3
    import math
    for i in range(5, math.isqrt(n) + 1, 6):
        if i * i > n:
            break
        if n % i == 0:
            ans = i
            while n % i == 0:
                n //= i
        i += 2
        if n % i == 0:
            ans = i
            while n % i == 0:
                n //= i
    if n > 1:
        ans = max(ans, n)
    return ans
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",largest_prime_factor
HumanEval/60,"def sum_to_n(n: int):
    """"""sum_to_n is a function that sums numbers from 1 to n.
    >>> sum_to_n(30)
    465
    >>> sum_to_n(100)
    5050
    >>> sum_to_n(5)
    15
    >>> sum_to_n(10)
    55
    >>> sum_to_n(1)
    1
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    return random.randint((size + 1) // 2, size),
",10 100 10000000 1000000000,"    return (n * (n + 1)) // 2
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",sum_to_n
HumanEval/61,"def correct_bracketing(brackets: str):
    """""" brackets is a string of ""("" and "")"".
    return True if every opening bracket has a corresponding closing bracket.

    >>> correct_bracketing(""("")
    False
    >>> correct_bracketing(""()"")
    True
    >>> correct_bracketing(""(()())"")
    True
    >>> correct_bracketing("")(()"")
    False
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid > 0 and cid == 0:
        m = (size + 1) // 2
        brackets = ""("" * m + "")"" * m
    else:
        brackets = rand_parens(size = size, valid = lid > 0 or cid % 2 != 0)
    return brackets,
",100 10000 15000 30000,"    if len(brackets) % 2 != 0:
        return False
    depth = 0
    for b in brackets:
        if b == ""("":
            depth += 1
        else:
            depth -= 1
            if depth < 0:
                return False
    return depth == 0
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",correct_bracketing
HumanEval/62,"def derivative(xs: list):
    """""" xs represent coefficients of a polynomial.
    xs[0] + xs[1] * x + xs[2] * x^2 + ....
     Return derivative of this polynomial in the same form.
    >>> derivative([3, 1, 2, 4, 5])
    [1, 4, 12, 20]
    >>> derivative([1, 2, 3])
    [2, 6]
    """"""","def generate_input(size: int, lid: int, cid: int):
    maxv = size * size
    input_data = [random.randint(-maxv, maxv) for _ in range(size)]
    return input_data,
",100 10000 15000 30000,"    return [xs[i] * i for i in range(1, len(xs))]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",derivative
HumanEval/63,"def fibfib(n: int):
    """"""The FibFib number sequence is a sequence similar to the Fibbonacci sequnece that's defined as follows:
    fibfib(0) == 0
    fibfib(1) == 0
    fibfib(2) == 1
    fibfib(n) == fibfib(n-1) + fibfib(n-2) + fibfib(n-3).
    Please write a function to efficiently compute the n-th element of the fibfib number sequence.
    >>> fibfib(1)
    0
    >>> fibfib(5)
    4
    >>> fibfib(8)
    24
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid == 0:
        n = 0
    else:
        n = size - cid
    return n,
",10 30 9000 10000,"    if n <= 2:
        return int(n == 2)
    else:
        a, b, c = 0, 1, 0
        for n in bin(n - 2)[3 :]:
            c2 = c * 2
            a, b, c = a * a + c * (2 * b + c), 2 * (a * b + c * (b + c)), b * (b + c2) + c2 * (a + c)
            if n == '1':
                a, b, c = c, a + c, b + c
        return a + b + 2 * c
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",fibfib
HumanEval/64,"def vowels_count(s):
    """"""Write a function vowels_count which takes a string representing
    a word as input and returns the number of vowels in the string.
    Vowels in this case are 'a', 'e', 'i', 'o', 'u'. Here, 'y' is also a
    vowel, but only when it is at the end of the given word.
    Example:
    >>> vowels_count(""abcde"")
    2
    >>> vowels_count(""ACEDY"")
    3
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    if lid == 0 and cid == 0:
        return """",
    vowels = ""aeiouy""
    consonants = """".join(set(string.ascii_lowercase) - set(vowels))
    input_string = []
    for i in range(size):
        if i == size - 1 and cid % 2 == 1:
            input_string.append('y')
        else:
            input_string.append(random.choice([random.choice(vowels), random.choice(consonants)]))
    input_string = """".join([c.upper() if random.randint(0, 1) else c for c in input_string])
    return input_string,
",100 1000 10000 40000,"    return int(bool(s) and (s[-1] == 'y' or s[-1] == 'Y')) + len(s) - len(s.translate({65: None, 69: None, 73: None, 79: None, 85: None, 97: None, 101: None, 105: None, 111: None, 117: None}))
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",vowels_count
HumanEval/65,"def circular_shift(x, shift):
    """"""Circular shift the digits of the integer x, shift the digits right by shift
    and return the result as a string.
    If shift > number of digits, return digits reversed.
    >>> circular_shift(12, 1)
    ""21""
    >>> circular_shift(12, 2)
    ""12""
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    if lid == 0:
        x = 123456
        shift = cid + 1
    else:
        x = random.randint(10 ** (size - 1), 10 ** size - 1)
        shift = (size + 1) // 2
    return x, shift
",6 20 500 1000,"    x = str(x)
    n = len(x)
    if shift > len(x):
        return x[::-1]
    else:
        return x[n - shift:] + x[:n - shift]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",circular_shift
HumanEval/66,"def digitSum(s):
    """"""Task
    Write a function that takes a string as input and returns the sum of the upper characters only'
    ASCII codes.

    Examples:
        digitSum("""") => 0
        digitSum(""abAB"") => 131
        digitSum(""abcCd"") => 67
        digitSum(""helloE"") => 69
        digitSum(""woArBld"") => 131
        digitSum(""aAaaaXa"") => 153
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    input_string = ''.join(random.choice(string.ascii_letters) for _ in range(size))
    return input_string,
",100 10000 20000 40000,"    return sum(map(ord, filter(str.isupper, s)))
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",digitSum
HumanEval/67,"def fruit_distribution(s,n):
    """"""
    In this task, you will be given a string that represents a number of apples and oranges 
    that are distributed in a basket of fruit this basket contains 
    apples, oranges, and mango fruits. Given the string that represents the total number of 
    the oranges and apples and an integer that represent the total number of the fruits 
    in the basket return the number of the mango fruits in the basket.
    for examble:
    fruit_distribution(""5 apples and 6 oranges"", 19) ->19 - 5 - 6 = 8
    fruit_distribution(""0 apples and 1 oranges"",3) -> 3 - 0 - 1 = 2
    fruit_distribution(""2 apples and 3 oranges"", 100) -> 100 - 2 - 3 = 95
    fruit_distribution(""100 apples and 1 oranges"",120) -> 120 - 100 - 1 = 19
    """"""","def generate_input(size: int, lid: int, cid: int):
    import random
    num_apples = random.randint(0, size)
    num_oranges = random.randint(0, size)
    total_fruits = num_apples + num_oranges + random.randint(0, size)
    input_string = f""{num_apples} apples and {num_oranges} oranges""
    return input_string, total_fruits
",1000 100000 10000000 1000000000,"    words = s.split()
    return n - int(words[0]) - int(words[3])
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",fruit_distribution
HumanEval/68,"def pluck(arr):
    """"""
    ""Given an array representing a branch of a tree that has non-negative integer nodes
    your task is to pluck one of the nodes and return it.
    The plucked node should be the node with the smallest even value.
    If multiple nodes with the same smallest even value are found return the node that has smallest index.
    The plucked node should be returned in a list, [ smalest_value, its index ],
    If there are no even values or the given array is empty, return [].
    Example 1:
        Input: [4,2,3]
        Output: [2, 1]
        Explanation: 2 has the smallest even value, and 2 has the smallest index.
    Example 2:
        Input: [1,2,3]
        Output: [2, 1]
        Explanation: 2 has the smallest even value, and 2 has the smallest index. 
    Example 3:
        Input: []
        Output: []
    
    Example 4:
        Input: [5, 0, 3, 0, 4, 2]
        Output: [0, 1]
        Explanation: 0 is the smallest value, but  there are two zeros,
                     so we will choose the first zero, which has the smallest index.
    Constraints:
        * 1 <= nodes.length <= 100000
        * 0 <= node.value
    """"""","def generate_input(size: int, lid: int, cid: int):
    size += size % 2
    size = max(size, 4)
    value = size * size
    if lid == 0 and cid % 2 == 0:
        arr = [value + random.randint(1, value // 2) * 2 - 1 for _ in range(size)]
    else:
        arr = [value + random.randint(2, value) for _ in range(size - 3)] + [value + 1, value + 2, value + 2]
    random.shuffle(arr)
    return arr,
",100 10000 15000 30000,"    w = float(""inf"")
    k = None
    for i, x in enumerate(arr):
        if w > x and x % 2 == 0:
            w = x
            k = i
    if k is None:
        return []
    else:
        return [w, k]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",pluck
HumanEval/69,"def search(lst):
    '''
    You are given a non-empty list of positive integers. Return the greatest integer that is greater than 
    zero, and has a frequency greater than or equal to the value of the integer itself. 
    The frequency of an integer is the number of times it appears in the list.
    If no such a value exist, return -1.
    Examples:
        search([4, 1, 2, 2, 3, 1]) == 2
        search([1, 2, 2, 3, 3, 3, 4, 4, 4]) == 3
        search([5, 5, 4, 4, 4]) == -1
    '''","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid < 3:
        lst = [[5, 5, 4, 4, 4], [4, 1, 2, 2, 3, 1], [1, 2, 2, 3, 3, 3, 4, 4, 4]][cid]
    else:
        m = int(size ** 0.4 + 1)
        size = max(size, m + 1, (m * (m + 1)) // 2)
        freq = [i for i in range(1, m + 1)]
        random.shuffle(freq)
        lst = []
        for i in range(1, m + 1):
            lst.extend([i] * freq[i - 1])
        for i in range((m * (m + 1)) // 2, size):
            lst.append(random.randint(m + 1, size))
    random.shuffle(lst)
    return lst,
",100 1000 10000 15000,"    from collections import Counter
    ans = -1
    for x, f in Counter(lst).items():
        if f >= x:
            ans = max(ans, x)
    return ans
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",search
HumanEval/70,"def strange_sort_list(lst):
    '''
    Given list of integers, return list in strange order.
    Strange sorting, is when you start with the minimum value,
    then maximum of the remaining integers, then minimum and so on.

    Examples:
    strange_sort_list([1, 2, 3, 4]) == [1, 4, 2, 3]
    strange_sort_list([5, 5, 5, 5]) == [5, 5, 5, 5]
    strange_sort_list([]) == []
    '''","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid == 0:
        lst = []
    else:
        size = max(size, 1) + random.randint(0, 1)
        lst = [random.randint(1, size) for i in range(size)]
        for i in range(1, size):
            lst[i] += lst[i - 1]
        random.shuffle(lst)
    return lst,
",100 1000 10000 15000,"    lst = sorted(lst)
    n = len(lst)
    ans = [None] * n
    m = (n + 1) // 2
    ans[:: 2] = lst[: m]
    if n > 1:
        ans[n - 1 - n % 2 :: -2] = lst[m :]
    return ans
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",strange_sort_list
HumanEval/71,"def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return the area of
    the triangle rounded to 2 decimal points if the three sides form a valid triangle. 
    Otherwise return -1
    Three sides make a valid triangle when the sum of any two sides is greater 
    than the third side.
    Example:
    triangle_area(3, 4, 5) == 6.00
    triangle_area(1, 2, 10) == -1
    '''","def generate_input(size: int, lid: int, cid: int):
    abc = [random.randint(2, 20), random.randint(2, 20)]
    if lid == 0 and cid < 4:
        abc.append(abc[0] + abc[1] + (random.randint(1, 2) if cid % 2 else 0))
    else:
        ub = abc[0] + abc[1] - 1
        lb = abs(abc[0] - abc[1]) + 1
        abc.append(random.randint(lb, ub))
    random.shuffle(abc)
    return tuple(abc)
",1 1 1 1,"    if a + b > c and b + c > a and a + c > b:
        p = (a + b + c) * .5
        return round((p * (p - a) * (p - b) * (p - c)) ** .5, 2)
    else:
        return -1
","def __check(input, answer, output):
    return type(output) in (int, float) and abs(answer - output) < 1e-4
",triangle_area
HumanEval/72,"def will_it_fly(q,w):
    '''
    Write a function that returns True if the object q will fly, and False otherwise.
    The object q will fly if it's balanced (it is a palindromic list) and the sum of its elements is less than or equal the maximum possible weight w.

    Example:
    will_it_fly([1, 2], 5) ➞ False 
    # 1+2 is less than the maximum possible weight, but it's unbalanced.

    will_it_fly([3, 2, 3], 1) ➞ False
    # it's balanced, but 3+2+3 is more than the maximum possible weight.

    will_it_fly([3, 2, 3], 9) ➞ True
    # 3+2+3 is less than the maximum possible weight, and it's balanced.

    will_it_fly([3], 5) ➞ True
    # 3 is less than the maximum possible weight, and it's balanced.
    '''","def generate_input(size: int, lid: int, cid: int):
    import random
    half_length = size // 2
    q_half = [random.randint(1, size * size) for _ in range(half_length)]
    q = q_half + ([] if random.randint(0, 1) else [random.randint(1, 10)]) + list(reversed(q_half))
    if lid == 0 and cid % 2 == 0:
        q[random.randint(0, len(q) - 1)] = random.randint(1, 10)
    if lid == 0 and cid // 2 % 2 == 0:
        w = sum(q) - random.randint(1, 2)
    else:
        w = sum(q) + (cid // 4 % 2) * random.randint(1, 2)
    return q, w
",100 10000 15000 30000,"    if sum(q) > w: return False
    m = len(q) // 2
    return q[: m] == q[-1 : -m - 1 : -1]
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",will_it_fly
HumanEval/73,"def smallest_change(arr):
    """"""
    Given an array arr of integers, find the minimum number of elements that
    need to be changed to make the array palindromic. A palindromic array is an array that
    is read the same backwards and forwards. In one change, you can change one element to any other element.

    For example:
    smallest_change([1,2,3,5,4,7,9,6]) == 4
    smallest_change([1, 2, 3, 4, 3, 2, 2]) == 1
    smallest_change([1, 2, 3, 2, 1]) == 0
    """"""","def generate_input(size: int, lid: int, cid: int):
    if lid == 0 and cid < 3:
        arr = [[1, 2, 3, 5, 4, 7, 9, 6], [1, 2, 3, 4, 3, 2, 2], [1, 2, 3, 2, 1]][cid]
    else:
        maxv = size * size
        charset = [random.randint(-maxv, maxv) for i in range(8)]
        arr = list(random.choices(charset, k = size))
    return arr,
",10 100 10000 15000,"    m = len(arr) // 2
    return len([1 for a, b in zip(arr[: m], arr[-1 : -m - 1 : -1]) if a != b])
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",smallest_change
HumanEval/74,"def total_match(lst1, lst2):
    '''
    Write a function that accepts two lists of strings and returns the list that has 
    total number of chars in the all strings of the list less than the other list.

    if the two lists have the same number of chars, return the first list.

    Examples
    total_match([], []) ➞ []
    total_match(['hi', 'admin'], ['hI', 'Hi']) ➞ ['hI', 'Hi']
    total_match(['hi', 'admin'], ['hi', 'hi', 'admin', 'project']) ➞ ['hi', 'admin']
    total_match(['hi', 'admin'], ['hI', 'hi', 'hi']) ➞ ['hI', 'hi', 'hi']
    total_match(['4'], ['1', '2', '3', '4', '5']) ➞ ['4']
    '''","def generate_input(size: int, lid: int, cid: int):
    import random
    import string
    charset = string.ascii_letters + string.digits
    if cid % 2 == 1:
        sizes = [random.randint((size + 1) // 2, size), random.randint((size + 1) // 2, size)]
    else:
        sizes = [random.randint((size + 1) // 2, size)] * 2
    input_lists = []
    for i in range(2):
        rand_str = ''.join(random.choices(charset, k = sizes[i]))
        rand_list = []
        j = 0
        while j < sizes[i]:
            k = random.randint(j + 1, min(j + 4, sizes[i]))
            rand_list.append(rand_str[j : k])
            j = k
        random.shuffle(rand_list)
        input_lists.append(rand_list)
    return tuple(input_lists)
",100 10000 15000 30000,"    c1 = len(''.join(lst1))
    c2 = len(''.join(lst2))
    if c1 <= c2:
        return lst1
    else:
        return lst2
","def __check(input, answer, output):
    return type(output) == type(answer) and output == answer
",total_match
